,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,atp_points,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
275,raemon sluiter,R,185.0,15.0,4.0,0.33155743802294135,0.15935523626700102,0.3668131868131868,0.5705351130351131,0.6923792547321959,0.5412473322882027,52.46666666666667,0.5902480293722636,106.0,407.0,,,,,
276,hyung taik lee,R,180.0,28.0,10.0,0.3485672911887491,0.18869696556031962,0.3585753532182104,0.5215037617611147,0.7332132007814783,0.6102381115860955,66.35714285714286,0.6183265429065222,107.0,406.0,,,,,
277,xavier malisse,R,185.0,42.0,22.0,0.37114666582411476,0.2522749778764816,0.44884395567625385,0.6182256235827663,0.8105794707160252,0.5764917043259189,66.69047619047619,0.6462747481452699,47.0,731.0,200.4,0.625,0.431,0.385,0.563
279,mikhail youzhny,R,183.0,43.0,22.0,0.40597013735239,0.3144129827980357,0.5055424469890956,0.5082059413454761,0.7620726472749657,0.5713902436719033,64.93023255813954,0.632911406334127,43.0,775.0,176.1,0.556,0.457,0.28600000000000003,0.462
280,andy roddick,R,188.0,69.0,56.0,0.36694130661007524,0.22838064157117866,0.44201999454557006,0.5630391749956967,0.9312734678570143,0.6573732898272499,59.710144927536234,0.7406310763189418,3.0,3085.0,237.3,0.721,0.396,0.7140000000000001,0.542
281,guillermo coria,R,175.0,76.0,52.0,0.4490425406518461,0.3939460312507617,0.46304177633512,0.5932311475074635,0.7684145123772854,0.6338388601242072,82.53947368421052,0.6228682426393153,8.0,2190.0,221.9,0.603,0.456,0.682,0.478
282,lars burgsmuller,R,183.0,26.0,6.0,0.33895324542486205,0.16603327228327222,0.3529319536672478,0.4283695471195472,0.6361386759293998,0.561981565993704,75.65384615384616,0.562513993225341,141.0,295.0,,,,,
284,jose acasuso,R,190.0,52.0,27.0,0.3634718796138856,0.20808784604033476,0.3984966422466424,0.5586340742590742,0.8102886869289583,0.5414004918416825,73.32692307692308,0.6486229509747964,40.0,803.0,197.3,0.611,0.373,0.467,0.522
285,tommy robredo,R,180.0,66.0,42.0,0.4139482237020623,0.3002624417550566,0.41438923578251646,0.5599384172660036,0.7676024529446621,0.6118441921829063,86.5909090909091,0.6275340688047994,19.0,1490.0,210.9,0.594,0.37,0.619,0.526
286,nikolay davydenko,R,178.0,81.0,52.0,0.42665621957661903,0.3451741175878316,0.4531735121567334,0.5648789572809181,0.7873550390119588,0.6731804809894356,70.87654320987654,0.6361874370127725,5.0,2390.0,212.7,0.604,0.449,0.474,0.6
288,albert montanes,R,175.0,29.0,10.0,0.35560994605684826,0.20451622976977946,0.3391917469503677,0.5046944434875469,0.706567770183389,0.6208000707614842,86.34482758620689,0.598932482263726,71.0,536.0,,,,,
289,david nalbandian,R,180.0,59.0,40.0,0.43922096845832914,0.35728070229063247,0.4881446002208712,0.499914680423155,0.767616676061667,0.6164910427381558,67.49152542372882,0.6367205624037249,6.0,2370.0,197.5,0.578,0.45899999999999996,0.43799999999999994,0.5
290,james blake,R,185.0,42.0,26.0,0.39431298019864025,0.27726042437176884,0.3938541461650706,0.5404919485276629,0.8378788407973503,0.5914357142070794,35.80952380952381,0.6655849157978564,23.0,1230.0,191.1,0.631,0.409,0.47100000000000003,0.4
292,michael llodra,L,190.0,31.0,9.0,0.3072511304507957,0.13328593449561194,0.3793010752688171,0.5383128520225294,0.7298573887283565,0.6422214120420461,64.19354838709677,0.620362027175735,136.0,303.0,183.2,0.583,0.39899999999999997,0.583,0.267
293,kristian pless,R,188.0,2.0,0.0,0.31838187702265375,0.0787878787878788,0.3333333333333333,0.5142857142857142,0.7571428571428571,0.5447443181818181,49.0,0.6285511363636364,160.0,261.0,,,,,
294,jan vacek,R,198.0,2.0,1.0,0.4875643224699828,0.4791666666666667,0.5125,0.75,0.8333333333333333,0.6836734693877551,45.5,0.620748299319728,260.0,135.0,,,,,
296,fernando gonzalez,R,183.0,69.0,47.0,0.37530026844856007,0.24392290560179913,0.41486321649365127,0.5373674137740635,0.8611270038447316,0.5905299229380994,62.608695652173914,0.6816262399035821,11.0,1790.0,217.1,0.64,0.386,0.524,0.621
297,jarkko nieminen,L,185.0,49.0,27.0,0.39629762205532354,0.26545043605202906,0.45035610092632894,0.5985057109756989,0.7317505013467609,0.6562241568077511,57.775510204081634,0.6037695682006045,28.0,1045.0,226.5,0.63,0.429,0.526,0.68
298,feliciano lopez,L,188.0,57.0,31.0,0.32882725685001446,0.15816039868033238,0.34821121860595544,0.6126895521632363,0.8156020803337624,0.5981854817856093,73.98245614035088,0.6534881448148707,33.0,910.0,219.9,0.642,0.36200000000000004,0.65,0.545
299,flavio saretta,R,183.0,5.0,2.0,0.38493034271521076,0.2015295815295815,0.4088095238095238,0.5285714285714285,0.6402564102564102,0.6049120675968694,47.4,0.5397166237793086,109.0,402.0,,,,,
301,irakli labadze,L,188.0,14.0,3.0,0.3196161484396268,0.14266646052360338,0.33353174603174607,0.646727478870336,0.7204815026243596,0.6345187117747322,84.5,0.5811056943902734,140.0,296.0,,,,,
302,jeff morrison,R,185.0,12.0,3.0,0.35500279099664106,0.19145021645021645,0.4012464387464387,0.40410052910052907,0.6764314389314389,0.5720455011866029,55.666666666666664,0.5859682265743462,154.0,270.0,,,,,
305,taylor dent,R,188.0,54.0,33.0,0.38180166443011765,0.2546258456217177,0.3974240522851635,0.5813852813852814,0.8139778570497523,0.5427012591275724,72.62962962962963,0.6567715998483751,29.0,1025.0,221.1,0.633,0.39799999999999996,0.5710000000000001,0.609
306,paul henri mathieu,R,185.0,51.0,25.0,0.37718539511545773,0.24502591039727567,0.43310382428029487,0.5082939935881113,0.7272870745576084,0.5423521044184926,57.8235294117647,0.6137766973144595,46.0,738.0,,,,,
307,jurgen melzer,L,183.0,49.0,24.0,0.36720842549944055,0.2432824678322878,0.479598830874341,0.5875982527543152,0.7454123257694686,0.5981381230760988,84.91836734693878,0.6083119206132731,52.0,690.0,195.9,0.607,0.426,0.455,0.47100000000000003
308,luis horna,R,180.0,40.0,16.0,0.3228438799940494,0.16676206705231472,0.3531051587301587,0.5390214993339993,0.7759573005683688,0.6492693759460123,75.55,0.6340707319636872,84.0,492.0,181.3,0.593,0.391,0.429,0.4
309,david ferrer,R,175.0,71.0,42.0,0.4250916507999283,0.3384937670684762,0.45262512506026215,0.5492991018923081,0.7345315138675428,0.6406207666656398,62.49295774647887,0.605456296541668,14.0,1620.0,196.9,0.5920000000000001,0.452,0.45799999999999996,0.467
313,radek stepanek,R,185.0,70.0,44.0,0.3709088859770491,0.23592525287360197,0.37333587047872757,0.6411008995672862,0.820694432784769,0.6438506593195594,67.12857142857143,0.656958857871406,20.0,1440.0,224.4,0.6679999999999999,0.38799999999999996,0.645,0.5429999999999999
314,noam okun,R,185.0,8.0,2.0,0.36300658359858573,0.20874819624819624,0.2637867647058823,0.5527529761904761,0.7191829004329005,0.6687670471097514,47.75,0.5982898921846432,194.0,199.0,,,,,
315,mardy fish,R,188.0,17.0,6.0,0.3423281903205476,0.2108262290423416,0.32042589763178003,0.5373053417171064,0.7279828687268133,0.539420242784541,73.76470588235294,0.6086992452700073,225.0,160.0,,,,,
316,federico luzzi,R,188.0,5.0,1.0,0.3376779710523826,0.15857142857142859,0.28095238095238095,0.4749999999999999,0.6126556776556777,0.556602053402707,51.0,0.5354487392664977,177.0,219.0,,,,,
318,gregory carraz,R,190.0,9.0,1.0,0.3310988287096592,0.21409932659932657,0.4955026455026455,0.5201267056530214,0.803395061728395,0.5970575890693273,49.22222222222222,0.6244112590591748,167.0,233.0,,,,,
319,mario ancic,R,196.0,65.0,42.0,0.3740661362178294,0.2439600036384985,0.4459013585710418,0.5612839724378186,0.8704763130019142,0.6179707570735812,84.41538461538461,0.6888067323756253,21.0,1360.0,200.4,0.645,0.425,0.313,0.621
320,cyril saulnier,R,190.0,42.0,16.0,0.34180909075682897,0.18292362010849406,0.3512548298262584,0.5247412640269783,0.7564415101705018,0.5908262916899474,63.80952380952381,0.6266292188670507,90.0,460.0,157.7,0.5579999999999999,0.369,0.4,0.25
321,brian vahaly,R,183.0,2.0,0.0,0.3256433007985803,0.18253968253968256,0.6428571428571428,0.625,0.6833333333333333,0.7320588235294118,71.5,0.5873529411764706,156.0,265.0,,,,,
