,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang
24,karsten braasch,L,180.0,48.0,17.0,0.3524881719749,0.19287317623115255,0.42071484801747966,0.5549624565249566,0.7354941777076528,0.5321369126050016,93.72916666666667,0.602170663128895,195.6,62.2%,40.2%,35.3%,57.9%,62.0
25,gianluca pozzi,L,180.0,18.0,9.0,0.3851275604012013,0.26003175721957966,0.37706925141135667,0.4394260060926727,0.6604217178972082,0.5399139029764858,56.05555555555556,0.5771710996112773,,,,,,68.0
26,diego nargiso,L,188.0,21.0,5.0,0.37767146715033767,0.22648594791451934,0.42271273699845124,0.47617845117845115,0.6366868581154295,0.5054923467681874,87.33333333333333,0.5639627262417317,,,,,,88.0
27,jan siemerink,L,183.0,30.0,13.0,0.35890348302866265,0.18296420140460384,0.410986050986051,0.6061380286380286,0.8140524725818843,0.6017868187113529,55.766666666666666,0.6550895679378411,178.5,64.9%,33.6%,30.0%,50.0%,53.0
28,boris becker,R,190.0,63.0,47.0,0.38070497724848157,0.24835312337619903,0.43293919484395665,0.5478418406989836,0.868682961972211,0.5717963265931444,51.20634920634921,0.6794057786264669,233.8,66.4%,42.7%,68.4%,56.3%,11.0
29,thierry champion,R,183.0,7.0,1.0,0.3787115447117559,0.22546897546897554,0.38177655677655675,0.28146258503401367,0.5815553494124923,0.6825621697962124,46.142857142857146,0.5390853412130008,,,,,,98.0
30,javier sanchez,R,178.0,58.0,25.0,0.37094099054691737,0.22502532401112527,0.4101330422451112,0.5289540906260507,0.7255306082598704,0.6611148281609537,71.05172413793103,0.6025336181195672,190.6,57.6%,40.1%,50.0%,42.9%,34.0
31,marc rosset,R,201.0,69.0,44.0,0.3832022568251571,0.23295945884830807,0.38807258740123185,0.5669387778083431,0.8300404069265962,0.5712864849699353,107.01449275362319,0.6630323280506538,221.2,62.0%,37.4%,57.1%,64.7%,16.0
32,andrei cherkasov,R,180.0,32.0,6.0,0.37978556071365793,0.23265450338060636,0.4738950132792044,0.43102901073707,0.5397580921937539,0.5671440860743634,53.375,0.5201148693448525,157.7,47.4%,42.4%,25.0%,42.9%,37.0
33,gilbert schaller,R,180.0,48.0,23.0,0.41346233699076035,0.3042836554785085,0.44857821576571566,0.5695473865051071,0.6785547275436983,0.786742301785242,120.91666666666667,0.5766151024266114,208.1,57.6%,43.4%,53.3%,53.8%,78.0
