,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
415,fabio fognini,R,178.0,,5.0,0.0,0.3613626922101498,0.20194805194805196,0.549047619047619,0.505,0.6127350427350426,0.5237116464043897,44.4,0.5545941755392787,,,,,
416,marin cilic,R,198.0,,9.0,3.0,0.34430981293062374,0.15732700487602447,0.32129629629629636,0.6089506172839506,0.7307595182595183,0.5608419536694063,46.666666666666664,0.5931159562491426,,,,,
417,marcel granollers,R,190.0,,2.0,0.0,0.4094507669470559,0.24107142857142855,0.275,0.5,0.625,0.5613565372601517,61.0,0.5446787148594378,,,,,
419,viktor troicki,R,193.0,,2.0,1.0,0.36983032873807,0.275,0.6388888888888888,0.43333333333333335,0.825,0.6139162561576355,50.0,0.6375205254515599,,,,,
422,donald young,L,183.0,,3.0,0.0,0.3196026421178551,0.020833333333333332,0.041666666666666664,0.1574074074074074,0.3541666666666667,0.546478988669658,49.666666666666664,0.41932509680988383,,,,,
427,jeremy chardy,R,188.0,,4.0,2.0,0.4227384868421053,0.3838235294117647,0.47767094017094014,0.4616883116883117,0.6726190476190477,0.6088656280312684,45.25,0.5564036337974145,,,,,
430,sergiy stakhovsky,R,193.0,,3.0,1.0,0.28771715613820875,0.08088235294117647,0.2828282828282828,0.6035353535353535,0.7274509803921569,0.6392400192400193,33.666666666666664,0.6041847041847043,,,,,
431,wayne odesnik,L,180.0,,1.0,0.0,0.29545454545454547,0.125,0.4,0.5833333333333334,0.6875,0.6464646464646465,89.0,0.6262626262626263,,,,,
432,paul capdeville,R,190.0,,14.0,5.0,0.3181606478443115,0.16403676517840604,0.6139880952380953,0.5171822225393654,0.6861104394524341,0.5832670347453525,48.5,0.5733422708347246,,,,,
433,juan pablo brzezicki,R,178.0,,1.0,0.0,0.4397163120567376,0.2941176470588235,0.2631578947368421,0.5,0.6470588235294118,0.5643564356435643,57.0,0.594059405940594,,,,,
434,roko karanusic,R,183.0,,5.0,1.0,0.3304672728401542,0.12380952380952381,0.41,0.5261904761904762,0.6720133667502088,0.679578348896774,43.2,0.6014968834039294,,,,,
435,frederico gil,R,178.0,,2.0,1.0,0.362202380952381,0.1923076923076923,0.25,0.6666666666666667,0.5803571428571428,0.7794601711652402,18.5,0.5348913759052007,,,,,
437,diego junqueira,L,178.0,,3.0,2.0,0.39868705383237985,0.2671957671957672,0.2726495726495726,0.5873015873015872,0.6666666666666666,0.7343841167370578,46.666666666666664,0.5666334783981842,,,,,
439,andreas beck,L,190.0,,2.0,0.0,0.37548076923076923,0.29910714285714285,0.4595959595959596,0.5416666666666667,0.6651785714285714,0.6054987212276215,74.5,0.5777919863597614,,,,,
441,daniel gimeno traver,R,185.0,,4.0,2.0,0.3546855948904933,0.227994227994228,0.45039682539682535,0.6028499278499279,0.6695054945054945,0.5875,56.0,0.5490983893557424,,,,,
442,denis istomin,R,188.0,,2.0,0.0,0.27341739577972207,0.0678733031674208,0.2222222222222222,0.6022727272727273,0.6875,0.6145152036718302,48.5,0.5911072862880091,,,,,
444,victor crivoi,R,185.0,,1.0,0.0,0.23684210526315788,0.0,0.0,0.5,0.2857142857142857,0.6363636363636364,54.0,0.45454545454545453,,,,,
447,marco chiudinelli,R,185.0,,8.0,4.0,0.3701070403661464,0.22849660906726124,0.38769841269841265,0.5809027777777778,0.8071924603174603,0.5660236795218283,49.625,0.6377953237327117,,,,,
449,paolo lorenzi,R,183.0,,1.0,0.0,0.4,0.2727272727272727,0.375,0.4166666666666667,0.4166666666666667,0.5333333333333333,64.0,0.4533333333333333,,,,,
450,rajeev ram,R,193.0,,1.0,0.0,0.2647058823529412,0.07692307692307687,1.0,0.0,0.7692307692307693,0.6891891891891891,25.0,0.6216216216216216,,,,,
455,thiemo de bakker,R,193.0,,2.0,1.0,0.39247556262787,0.5357142857142857,0.41666666666666663,0.7291666666666667,0.38461538461538464,0.5463046214709584,70.0,0.6281244380507103,,,,,
456,lukasz kubot,R,190.0,,7.0,2.0,0.3248774567686506,0.15075876504447933,0.3198051948051948,0.5088023088023087,0.6272632129774988,0.6152398755945067,38.714285714285715,0.5500873323637755,,,,,
460,alexandr dolgopolov,R,180.0,,1.0,0.0,0.29508196721311475,0.09999999999999998,0.3333333333333333,0.5,0.8,0.5806451612903226,64.0,0.5806451612903226,,,,,
463,michal przysiezny,R,185.0,,3.0,2.0,0.4498533827945593,0.4083333333333334,0.4083333333333334,0.4025974025974026,0.625,0.5783367610610135,57.333333333333336,0.5569618028089789,,,,,
474,ryan sweeting,R,196.0,,4.0,2.0,0.40101626596930484,0.2642857142857143,0.43333333333333335,0.4722222222222222,0.6412337662337663,0.5319982452739719,53.0,0.5605979841054467,,,,,
476,julian reister,R,188.0,,1.0,0.0,0.3939393939393939,0.19999999999999996,0.25,0.3333333333333333,0.6,0.6615384615384615,75.0,0.5384615384615384,,,,,
477,andreas haider maurer,R,190.0,,1.0,0.0,0.18181818181818182,0.0,0.0,0.25,0.6666666666666666,0.58,52.0,0.54,,,,,
478,alex bogomolov jr,R,178.0,,3.0,1.0,0.32883498801101796,0.19943019943019946,0.8974358974358975,0.5337586390217969,0.5771265771265771,0.6724565756823822,28.666666666666668,0.530652845643358,,,,,
484,eric prodon,R,178.0,,1.0,0.0,0.375,0.1428571428571429,0.2,0.6666666666666666,0.7692307692307693,0.6547619047619048,93.0,0.6190476190476191,,,,,
489,go soeda,R,178.0,,1.0,0.0,0.29411764705882354,0.11111111111111116,1.0,0.6,0.5555555555555556,0.47368421052631576,3.0,0.5087719298245614,,,,,
500,igor sijsling,R,190.0,,1.0,0.0,0.3364485981308411,0.06666666666666665,0.09090909090909091,0.6,0.7333333333333333,0.5,55.0,0.5849056603773585,,,,,
560,konstantin kravchuk,R,190.0,,2.0,1.0,0.32653965440850685,0.15000000000000002,0.3,0.5227272727272727,0.5928571428571429,0.5475548710050058,49.5,0.572006160954948,,,,,
