,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang
10,mark woodforde,L,188.0,48.0,28.0,0.3979321419964088,0.2740646357635101,0.44922279007756954,0.624616008991009,0.7761683329691724,0.570917974615587,85.375,0.6214917120929166,149.6,31.0%,51.8%,25.9%,40.9%,210.0,65.7%,40.9%,56.3%,47.1%,40.0
11,derrick rostagno,R,185.0,37.0,16.0,0.3948586314998105,0.2604422782710573,0.4327416952416952,0.5460561210561211,0.6982874780593182,0.6208032109236528,81.1891891891892,0.5945148628110624,149.1,31.7%,53.0%,25.8%,38.6%,176.8,57.6%,38.6%,41.7%,38.9%,75.0
12,magnus larsson,R,193.0,50.0,28.0,0.3681933472515632,0.20497145123538313,0.3811538885091519,0.6062392052392053,0.7790539166715637,0.6343594367007998,58.98,0.6297812941271236,135.8,29.0%,49.5%,19.8%,37.5%,239.9,63.1%,37.5%,77.8%,61.5%,34.0
13,christian bergstrom,R,180.0,44.0,23.0,0.37550655892565293,0.2401090051042555,0.3903439474963539,0.5098525842844025,0.7403245915429818,0.6413721504188206,75.0909090909091,0.6023987044925597,151.0,30.8%,51.5%,25.4%,43.3%,207.4,56.0%,43.3%,64.3%,43.8%,58.0
14,kenneth carlsen,L,190.0,43.0,17.0,0.3478318725708954,0.17730743378393848,0.29623690263225144,0.47713178294573644,0.7874695606570142,0.5496145587008933,81.25581395348837,0.6421787154073496,127.0,27.4%,47.5%,17.5%,34.6%,171.5,56.1%,34.6%,50.0%,30.8%,69.0
15,todd martin,R,198.0,65.0,43.0,0.39490717191868746,0.2638138094227018,0.4602758566220104,0.5887194002578617,0.832497637762737,0.6322028241903677,75.2,0.650672811320193,151.4,29.5%,52.2%,24.9%,44.8%,208.8,65.6%,44.8%,50.0%,48.4%,87.0
16,bryan shelton,R,185.0,34.0,14.0,0.35794249531444833,0.17997795156441124,0.34066113624937155,0.597227527374586,0.7939709583956991,0.5771525838645031,72.91176470588235,0.6362526454761103,134.1,29.4%,49.1%,18.9%,36.7%,198.0,61.8%,36.7%,45.0%,54.5%,100.0
17,cedric pioline,R,188.0,73.0,47.0,0.3920203882399726,0.26252053699379707,0.39801340547714437,0.5502990913993612,0.822303719020925,0.6016122400090053,81.17808219178082,0.6520036446744982,144.1,29.5%,51.6%,25.2%,37.8%,210.3,64.0%,37.8%,57.1%,51.4%,33.0
18,sandon stolle,R,193.0,20.0,3.0,0.32615953730653224,0.14839385159044602,0.4813141025641026,0.48470057720057713,0.6192196460230516,0.5072184424125618,50.7,0.5552791305809677,,,,,,,,,,,71.0
19,richard fromberg,R,196.0,61.0,32.0,0.3506241953818982,0.18891226767682964,0.36532088130448775,0.616398992628501,0.7926287891984741,0.5819479881052123,106.91803278688525,0.636116623766282,134.1,26.6%,49.7%,19.1%,38.7%,216.9,65.9%,38.7%,60.9%,51.4%,83.0
