,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
229,sebastien grosjean,R,175.0,56.0,36.0,0.41787085826665216,0.32394864978270616,0.4766075164218963,0.5056555547626975,0.8100832197974429,0.5532220381200362,54.57142857142857,0.6434652133679041,17.0,202.7,0.597,0.433,0.313,0.684
230,andrew ilie,R,180.0,6.0,0.0,0.32628721153060447,0.06798245614035088,0.13518518518518519,0.427128427128427,0.557073238652186,0.5437935556510833,67.0,0.5339273996552317,65.0,,,,,
233,arnaud di pasquale,R,185.0,11.0,5.0,0.3923494812530625,0.26188256188256187,0.4705266955266955,0.5698593073593073,0.7266233766233765,0.658096900121441,62.18181818181818,0.5941094015397476,98.0,,,,,
235,lleyton hewitt,R,180.0,75.0,60.0,0.4300451960108696,0.34758305922949867,0.4288472135211041,0.5376903981686589,0.8114015489578148,0.5127550474154695,50.68,0.6496331571906072,1.0,260.2,0.638,0.41700000000000004,0.9470000000000001,0.6
236,stefan koubek,L,175.0,53.0,23.0,0.372444458569225,0.21192785257333413,0.4158882260297354,0.5092997149600924,0.7151132930134523,0.5941888166642795,67.62264150943396,0.6023288359198521,54.0,193.7,0.539,0.381,0.385,0.632
238,rainer schuettler,R,180.0,66.0,37.0,0.41561235813931713,0.3142293092757489,0.4998385873385873,0.5187581358035903,0.7518257527281593,0.5701168554013836,68.71212121212122,0.6232143455260782,33.0,207.4,0.5820000000000001,0.456,0.5,0.536
240,alberto martin,R,175.0,46.0,22.0,0.39058558425131573,0.2573024872257608,0.3713190333394937,0.5365232053733198,0.6889322101598317,0.6188119109311174,72.15217391304348,0.5878452929494667,61.0,216.6,0.56,0.40700000000000003,0.636,0.563
241,gaston gaudio,R,175.0,56.0,39.0,0.4203673906364806,0.3133785641296147,0.47672990402147847,0.5461282269317984,0.7790924193550725,0.627384759249157,77.23214285714286,0.6371843502716804,21.0,225.4,0.606,0.446,0.611,0.591
242,markus hipfl,R,178.0,26.0,10.0,0.3823661186390889,0.26576659263310837,0.4361220510258972,0.4893580388509395,0.6611930804238496,0.6521615640952869,101.23076923076923,0.5770037457695865,75.0,,,,,
244,juan carlos ferrero,R,183.0,69.0,45.0,0.3887304296599088,0.2636987199827597,0.39484078723209154,0.5805437316306883,0.7967984840921979,0.6000943737530319,56.79710144927536,0.6430041888522414,4.0,229.0,0.629,0.415,0.679,0.5670000000000001
245,wayne arthurs,L,190.0,43.0,20.0,0.29788378989054837,0.09920054675526632,0.2513498775126682,0.6709945739015507,0.8978320292333256,0.5758729025788836,71.83720930232558,0.69702074412934,52.0,201.4,0.7290000000000001,0.285,0.55,0.45
247,ivan ljubicic,R,193.0,53.0,26.0,0.34129883250124504,0.18883430092099204,0.4138909308720628,0.6033706735981985,0.8385503986779307,0.5655276680241208,62.22641509433962,0.6645955298837667,49.0,187.9,0.674,0.386,0.45799999999999996,0.361
249,roger federer,R,185.0,76.0,53.0,0.3923490419352903,0.2717853101799858,0.451407736140708,0.6141680322601375,0.8613980525928547,0.6014493922566988,53.39473684210526,0.6738707851869425,6.0,212.2,0.662,0.433,0.41200000000000003,0.615
250,antony dupuis,R,185.0,36.0,14.0,0.3244713075592668,0.14895082903661333,0.4415889665889666,0.5667936203855743,0.774388606128802,0.6040142718940653,103.27777777777777,0.6284999203837334,70.0,203.2,0.637,0.419,0.33299999999999996,0.643
251,max mirnyi,R,196.0,52.0,25.0,0.3339565701518631,0.1746168094725786,0.36674679487179485,0.579204402309606,0.8330886219044112,0.640612003729192,58.38461538461539,0.6674416168140505,43.0,201.3,0.638,0.375,0.33299999999999996,0.667
254,andre sa,R,185.0,41.0,19.0,0.39022273940054963,0.2690198033275508,0.39628691092105733,0.5460586161805673,0.6977408256497208,0.577630308580341,73.65853658536585,0.5903155056753217,66.0,198.0,0.5489999999999999,0.39299999999999996,0.5379999999999999,0.5
255,christophe rochus,R,170.0,26.0,8.0,0.37265830206312694,0.21766217594688664,0.42781626268468376,0.4822197033735496,0.5906207856999712,0.5664894314672091,95.76923076923077,0.5374652166879902,68.0,181.6,0.53,0.397,0.556,0.33299999999999996
256,julien boutter,R,190.0,41.0,16.0,0.328861930505779,0.15940518191177697,0.3632959858569615,0.5503721887868229,0.7974971343262466,0.5670416306527569,59.951219512195124,0.6462655313918614,77.0,180.7,0.59,0.359,0.467,0.391
257,andreas vinciguerra,L,180.0,15.0,3.0,0.279028725429805,0.08989226459814695,0.2519047619047619,0.49758297258297257,0.7272859547859548,0.6277720076902493,85.0,0.612411514776293,33.0,,,,,
258,paradorn srichaphan,R,185.0,68.0,46.0,0.3884644525202488,0.2777154866639933,0.44985199153019223,0.5352637966608557,0.8214230370137763,0.559331368375256,92.38235294117646,0.6682557506308536,16.0,219.5,0.615,0.40700000000000003,0.64,0.5329999999999999
259,michel kratochvil,R,185.0,46.0,19.0,0.3881962393775314,0.2725875794088205,0.39688885993233824,0.5470544996574745,0.7121011959055438,0.5869585476213962,79.84782608695652,0.5962034580266343,69.0,171.4,0.5770000000000001,0.402,0.235,0.5
260,jiri vanek,R,185.0,4.0,0.0,0.3032190120006576,0.16783143756827967,0.56875,0.33125,0.5725772765246449,0.5739132313542477,30.75,0.534390934232132,97.0,,,,,
261,nicolas massu,R,183.0,42.0,24.0,0.39169863264425764,0.2834293807286952,0.4131246982087318,0.5835047830320941,0.767461943575942,0.589429320349475,93.02380952380952,0.6224329153350783,56.0,222.5,0.638,0.428,0.5710000000000001,0.588
262,juan ignacio chela,R,190.0,72.0,45.0,0.40567833914512197,0.28874099820524574,0.43829050982366247,0.5271746771746773,0.7761668449501463,0.5557246861853345,75.65277777777777,0.6374705036814345,23.0,226.4,0.57,0.42700000000000005,0.7040000000000001,0.563
264,agustin calleri,R,183.0,47.0,25.0,0.3946174745701207,0.2600377513161585,0.4372372137629695,0.5189990885874329,0.7790463588442971,0.5782295732466601,54.61702127659574,0.6408256594863992,50.0,187.6,0.591,0.397,0.467,0.42100000000000004
265,david sanchez,R,183.0,41.0,18.0,0.403461653192535,0.30766985286354015,0.4649976717049887,0.5669986696708362,0.7453666272353505,0.6200942293760044,66.92682926829268,0.6167124735136225,60.0,171.3,0.607,0.433,0.273,0.4
267,juan balcells,R,190.0,16.0,6.0,0.3460602066705774,0.16511162448662445,0.33716613247863253,0.5353152056277056,0.8091331585081584,0.726451853549829,47.5,0.6381612706163078,95.0,,,,,
269,olivier rochus,R,168.0,38.0,16.0,0.41713131784942803,0.30759671708318903,0.4519190604716921,0.5089537268716835,0.6726270651183512,0.5652364353718531,78.94736842105263,0.5803418660962053,64.0,197.7,0.555,0.46399999999999997,0.33299999999999996,0.625
270,harel levy,R,185.0,11.0,3.0,0.34107189371590185,0.1725706112069748,0.37705627705627703,0.4946460402342755,0.5375427273648617,0.5797862181112856,50.72727272727273,0.5190611191795278,77.0,,,,,
271,vladimir voltchkov,R,180.0,14.0,7.0,0.392500259791717,0.2691849816849817,0.39300401978973415,0.6105699855699855,0.7378379556950987,0.6323697471001123,61.92857142857143,0.621094532145132,73.0,,,,,
274,michal tabara,R,175.0,8.0,4.0,0.3587382034659991,0.21752013305322132,0.41939102564102565,0.5070120851370852,0.663885042653425,0.5645900046491997,53.75,0.5716156489183116,99.0,,,,,
275,raemon sluiter,R,185.0,24.0,10.0,0.3797850702743421,0.23897502960002967,0.423848026973027,0.5346862628112629,0.7464746723792776,0.5770171851110982,74.375,0.6185861399777458,71.0,,,,,
276,hyung taik lee,R,180.0,22.0,8.0,0.35581883183510005,0.19160775155357196,0.3077741702741703,0.6135503385503385,0.7499403429245326,0.6409130006347564,58.40909090909091,0.6323800423394457,87.0,,,,,
277,xavier malisse,R,185.0,51.0,28.0,0.3810784740455902,0.24753101707479624,0.4037376404409811,0.5655187639905056,0.7486053417092549,0.5694083160378658,77.2156862745098,0.6220533400244588,25.0,234.1,0.597,0.406,0.5379999999999999,0.8
279,mikhail youzhny,R,183.0,54.0,33.0,0.4033192806836706,0.3013206882736579,0.4644049880160992,0.5754282240393354,0.7831873733103526,0.6432460309013197,57.24074074074074,0.625045781156434,32.0,207.7,0.605,0.446,0.5,0.526
280,andy roddick,R,188.0,71.0,52.0,0.37400852321293415,0.24856399967211898,0.42194732106703936,0.5779479909761601,0.8767291618515834,0.6128902852675624,56.11267605633803,0.6978312347045544,10.0,240.0,0.6629999999999999,0.433,0.733,0.5710000000000001
281,guillermo coria,R,175.0,36.0,21.0,0.42248880245797077,0.3163316621649955,0.43045176274342944,0.523783366162752,0.7276250755417424,0.6429834156295569,68.5,0.6196752091784533,45.0,204.1,0.581,0.429,0.364,0.667
282,lars burgsmuller,R,183.0,36.0,14.0,0.3844514881740974,0.25073913153090477,0.3954192367182563,0.5577902376309241,0.6924853287598385,0.5656106004633809,89.61111111111111,0.5962984819918256,76.0,205.9,0.5589999999999999,0.444,0.5,0.556
283,michael russell,R,173.0,15.0,3.0,0.34704796391672954,0.17883023294788003,0.25517399267399266,0.4913727013727014,0.5927667539432245,0.6985950424691451,62.8,0.5465925014221928,87.0,,,,,
284,jose acasuso,R,190.0,40.0,21.0,0.37461018754373465,0.24833423520923517,0.4399842436974789,0.5360523851148851,0.7626869115184334,0.5525886577073609,71.1,0.6177994488186016,41.0,213.8,0.599,0.428,0.444,0.667
285,tommy robredo,R,180.0,56.0,31.0,0.3916171592033518,0.2684970365802481,0.40403143483500636,0.5350682056039199,0.7124320812705678,0.6813209897834076,62.625,0.5987921707815144,30.0,217.2,0.556,0.41,0.682,0.524
286,nikolay davydenko,R,178.0,39.0,16.0,0.3888228687856984,0.2736595346562006,0.4820707070707071,0.5125252886088799,0.6835512522283183,0.6040972751630219,76.07692307692308,0.5843924371107163,81.0,173.4,0.542,0.43700000000000006,0.3,0.455
288,albert montanes,R,175.0,40.0,16.0,0.33557144123420046,0.16246344750021224,0.34026678422152556,0.6421365595611285,0.7485500757412522,0.6198363334393164,61.025,0.61009672300646,78.0,198.1,0.633,0.348,0.556,0.444
289,david nalbandian,R,180.0,57.0,34.0,0.40321208619274224,0.2853920155519153,0.4708164514258697,0.5806511098693762,0.7479522677396232,0.5853428731874448,57.19298245614035,0.6105182618084737,12.0,235.6,0.6,0.429,0.619,0.708
